Date,AAPL,AMZN,GOOG,MSFT
2022-01-03,178.10365295410156,170.4044952392578,143.89315795898438,323.16082763671875
2022-01-04,175.84327697753906,167.52200317382812,143.24050903320312,317.6195373535156
2022-01-05,171.1658172607422,164.35699462890625,136.53257751464844,305.42681884765625
2022-01-06,168.30850219726562,163.25399780273438,136.43089294433594,303.0132751464844
2022-01-07,168.474853515625,162.5540008544922,135.88885498046875,303.1678161621094
2022-01-10,168.49441528320312,161.48599243164062,137.44558715820312,303.3898010253906
2022-01-11,171.3223876953125,165.36199951171875,138.8773193359375,304.07525634765625
2022-01-12,171.7627410888672,165.20700073242188,140.4945526123047,307.2513122558594
2022-01-13,168.49441528320312,161.21400451660156,137.998046875,294.2476501464844
2022-01-14,169.35552978515625,162.13800048828125,138.64820861816406,299.4607849121094
2022-01-18,166.15574645996094,158.91749572753906,135.1806640625,292.17205810546875
2022-01-19,162.66233825683594,156.2989959716797,134.54736328125,292.8285217285156
2022-01-20,160.979248046875,151.66749572753906,132.41934204101562,291.1584167480469
2022-01-21,158.92433166503906,142.64300537109375,129.0326690673828,285.78131103515625
2022-01-24,158.15127563476562,144.54400634765625,129.31036376953125,286.10955810546875
2022-01-25,156.35076904296875,139.98599243164062,125.70348358154297,278.5023498535156
2022-01-26,156.26268005371094,138.87249755859375,128.1875762939453,286.437744140625
2022-01-27,155.8027801513672,139.6374969482422,128.06956481933594,289.4593505859375
2022-01-28,166.67434692382812,143.97799682617188,132.2041015625,297.5879211425781
2022-01-31,171.02883911132812,149.57350158691406,134.59349060058594,300.21368408203125
2022-02-01,170.8625030517578,151.19349670410156,136.75575256347656,298.0705871582031
2022-02-02,172.06607055664062,150.6125030517578,146.83103942871094,302.60784912109375
2022-02-03,169.18919372558594,138.8455047607422,141.48887634277344,290.820556640625
2022-02-04,168.9050750732422,157.63949584960938,141.8514404296875,295.3482360839844
2022-02-07,168.18980407714844,157.9355010986328,137.80662536621094,290.5309753417969
2022-02-08,171.2957305908203,161.4134979248047,138.07936096191406,294.0159606933594
2022-02-09,172.71641540527344,161.1894989013672,140.30113220214844,300.43572998046875
2022-02-10,168.64048767089844,159.0034942626953,137.47384643554688,291.9114685058594
2022-02-11,165.23085021972656,153.2935028076172,133.0377655029297,284.8255310058594
2022-02-14,165.46603393554688,155.16700744628906,134.1982421875,284.78692626953125
2022-02-15,169.2969512939453,156.510498046875,135.31459045410156,290.06756591796875
2022-02-16,169.06182861328125,158.10049438476562,136.36795043945312,289.7290344238281
2022-02-17,165.46603393554688,154.65249633789062,131.23110961914062,281.2451171875
2022-02-18,163.91795349121094,152.60150146484375,129.4051055908203,278.53643798828125
2022-02-22,160.9982452392578,150.19749450683594,128.34877014160156,278.3332824707031
2022-02-23,156.83412170410156,144.82699584960938,126.54607391357422,271.12640380859375
2022-02-24,159.4501495361328,151.35800170898438,131.5930938720703,284.9791259765625
2022-02-25,161.51748657226562,153.7884979248047,133.42408752441406,287.6104736328125
2022-02-28,161.78199768066406,153.56300354003906,133.7925567626953,289.0421447753906
2022-03-01,159.90081787109375,151.14199829101562,133.075439453125,285.3274230957031
2022-03-02,163.19293212890625,152.05250549316406,133.6542205810547,290.396484375
2022-03-03,162.86961364746094,147.89849853515625,133.2143096923828,286.2658386230469
2022-03-04,159.8714599609375,145.64100646972656,131.046142578125,280.40350341796875
2022-03-07,156.0796661376953,137.4530029296875,125.4346923828125,269.8107604980469
2022-03-08,154.25729370117188,136.01449584960938,126.2420654296875,266.85052490234375
2022-03-09,159.65589904785156,139.2790069580078,132.7759246826172,279.0878601074219
2022-03-10,155.3154754638672,146.8175048828125,131.6015625,276.2727355957031
2022-03-11,151.60205078125,145.52450561523438,129.41302490234375,270.9329528808594
2022-03-14,147.5751495361328,141.85299682617188,125.70893859863281,267.4213562011719
2022-03-15,151.9547882080078,147.3665008544922,128.60467529296875,277.7818603515625
2022-03-16,156.3638153076172,153.10400390625,132.6018524169922,284.78570556640625
2022-03-17,157.3730010986328,157.23899841308594,133.50445556640625,285.5886535644531
2022-03-18,160.66505432128906,161.25050354003906,135.6875,290.628662109375
2022-03-21,162.03675842285156,161.4915008544922,135.3671417236328,289.400146484375
2022-03-22,165.4072265625,164.88900756835938,139.13522338867188,294.1402587890625
2022-03-23,166.76914978027344,163.4080047607422,137.37564086914062,289.7192687988281
2022-03-24,170.5511016845703,163.64950561523438,140.16128540039062,294.1789245605469
2022-03-25,171.18795776367188,164.77349853515625,140.36907958984375,293.77264404296875
2022-03-28,172.05018615722656,168.99049377441406,140.79409790039062,300.5636291503906
2022-03-29,175.34225463867188,169.31500244140625,142.08351135253906,305.11993408203125
2022-03-30,174.17626953125,166.30099487304688,141.48292541503906,303.6204833984375
2022-03-31,171.08018493652344,162.99749755859375,138.51229858398438,298.2515869140625
2022-04-01,170.78623962402344,163.55999755859375,139.55426025390625,299.32537841796875
2022-04-04,174.83273315429688,168.34649658203125,142.4728240966797,304.6943054199219
2022-04-05,171.52105712890625,164.05499267578125,139.914306640625,300.73773193359375
2022-04-06,168.3563690185547,158.75599670410156,136.0589599609375,289.7290344238281
2022-04-07,168.6601104736328,157.7845001220703,135.35374450683594,291.5379943847656
2022-04-08,166.65155029296875,154.4604949951172,132.9192657470703,287.28155517578125
2022-04-11,162.39927673339844,151.1219940185547,128.73956298828125,275.9535827636719
