,AAPL,AMZN,GOOG,MSFT
AAPL,0.00033469074556266673,0.0003060773810976574,0.0002828151512887428,0.0002621175639427562
AMZN,0.0003060773810976574,0.0007196297249106096,0.00040763388659999244,0.00035894431158414763
GOOG,0.0002828151512887428,0.00040763388659999244,0.0004885613434251235,0.00031096723142635214
MSFT,0.0002621175639427562,0.00035894431158414763,0.00031096723142635214,0.0003738361164793404
